unix,iso_utc,gpu,util_gpu_pct,util_mem_pct,memory_used_mib,memory_total_mib,power_w,temperature_c,disk_free_gib,checkpoint_gib,rollout_gib,search_server_ok
1783748968.4579322,2026-07-11T05:49:28.457932+00:00,0,0,0,2,81920,60.28,27,40.61425018310547,0.0,1.7927959561347961e-06,1
1783748968.4579322,2026-07-11T05:49:28.457932+00:00,1,0,0,2,81920,58.40,28,40.61425018310547,0.0,1.7927959561347961e-06,1
1783748968.4579322,2026-07-11T05:49:28.457932+00:00,2,0,0,2,81920,60.22,27,40.61425018310547,0.0,1.7927959561347961e-06,1
1783748968.4579322,2026-07-11T05:49:28.457932+00:00,3,0,0,2,81920,57.58,28,40.61425018310547,0.0,1.7927959561347961e-06,1
1783748973.5130682,2026-07-11T05:49:33.513068+00:00,0,0,0,5,81920,60.28,27,40.61423110961914,0.0,2.3972243070602417e-06,1
1783748973.5130682,2026-07-11T05:49:33.513068+00:00,1,0,0,5,81920,58.40,28,40.61423110961914,0.0,2.3972243070602417e-06,1
1783748973.5130682,2026-07-11T05:49:33.513068+00:00,2,0,0,5,81920,60.22,27,40.61423110961914,0.0,2.3972243070602417e-06,1
1783748973.5130682,2026-07-11T05:49:33.513068+00:00,3,0,0,5,81920,57.58,28,40.61423110961914,0.0,2.3972243070602417e-06,1
1783748978.5835552,2026-07-11T05:49:38.583555+00:00,0,0,0,5,81920,60.28,27,40.61381912231445,0.0,2.927146852016449e-06,1
1783748978.5835552,2026-07-11T05:49:38.583555+00:00,1,0,0,5,81920,58.40,28,40.61381912231445,0.0,2.927146852016449e-06,1
1783748978.5835552,2026-07-11T05:49:38.583555+00:00,2,0,0,5,81920,60.22,27,40.61381912231445,0.0,2.927146852016449e-06,1
1783748978.5835552,2026-07-11T05:49:38.583555+00:00,3,0,0,5,81920,57.58,28,40.61381912231445,0.0,2.927146852016449e-06,1
1783748983.6685922,2026-07-11T05:49:43.668592+00:00,0,0,0,5,81920,59.94,27,40.61374282836914,0.0,3.3816322684288025e-06,1
1783748983.6685922,2026-07-11T05:49:43.668592+00:00,1,0,0,5,81920,58.40,28,40.61374282836914,0.0,3.3816322684288025e-06,1
1783748983.6685922,2026-07-11T05:49:43.668592+00:00,2,0,0,5,81920,60.22,27,40.61374282836914,0.0,3.3816322684288025e-06,1
1783748983.6685922,2026-07-11T05:49:43.668592+00:00,3,0,0,5,81920,57.58,28,40.61374282836914,0.0,3.3816322684288025e-06,1
1783748988.7371624,2026-07-11T05:49:48.737162+00:00,0,0,0,5,81920,59.94,27,40.61369323730469,0.0,3.308244049549103e-05,1
1783748988.7371624,2026-07-11T05:49:48.737162+00:00,1,0,0,5,81920,58.46,28,40.61369323730469,0.0,3.308244049549103e-05,1
1783748988.7371624,2026-07-11T05:49:48.737162+00:00,2,0,0,5,81920,60.22,27,40.61369323730469,0.0,3.308244049549103e-05,1
1783748988.7371624,2026-07-11T05:49:48.737162+00:00,3,0,0,5,81920,57.58,28,40.61369323730469,0.0,3.308244049549103e-05,1
1783748993.7927592,2026-07-11T05:49:53.792759+00:00,0,0,0,5,81920,59.94,27,40.61363983154297,0.0,3.5488978028297424e-05,1
1783748993.7927592,2026-07-11T05:49:53.792759+00:00,1,0,0,5,81920,58.40,28,40.61363983154297,0.0,3.5488978028297424e-05,1
1783748993.7927592,2026-07-11T05:49:53.792759+00:00,2,0,0,5,81920,60.22,27,40.61363983154297,0.0,3.5488978028297424e-05,1
1783748993.7927592,2026-07-11T05:49:53.792759+00:00,3,0,0,5,81920,57.58,28,40.61363983154297,0.0,3.5488978028297424e-05,1
1783748998.8503442,2026-07-11T05:49:58.850344+00:00,0,0,0,5,81920,60.28,27,40.613548278808594,0.0,3.613624721765518e-05,1
1783748998.8503442,2026-07-11T05:49:58.850344+00:00,1,0,0,5,81920,58.40,28,40.613548278808594,0.0,3.613624721765518e-05,1
1783748998.8503442,2026-07-11T05:49:58.850344+00:00,2,0,0,5,81920,60.22,27,40.613548278808594,0.0,3.613624721765518e-05,1
1783748998.8503442,2026-07-11T05:49:58.850344+00:00,3,0,0,5,81920,57.58,28,40.613548278808594,0.0,3.613624721765518e-05,1
1783749003.9062858,2026-07-11T05:50:03.906286+00:00,0,0,0,423,81920,69.50,28,40.61348342895508,0.0,3.739167004823685e-05,1
1783749003.9062858,2026-07-11T05:50:03.906286+00:00,1,0,0,5,81920,58.46,28,40.61348342895508,0.0,3.739167004823685e-05,1
1783749003.9062858,2026-07-11T05:50:03.906286+00:00,2,0,0,5,81920,60.22,27,40.61348342895508,0.0,3.739167004823685e-05,1
1783749003.9062858,2026-07-11T05:50:03.906286+00:00,3,0,0,5,81920,57.58,28,40.61348342895508,0.0,3.739167004823685e-05,1
1783749008.9624465,2026-07-11T05:50:08.962446+00:00,0,0,0,5753,81920,69.71,28,40.61347961425781,0.0,4.2469240725040436e-05,1
1783749008.9624465,2026-07-11T05:50:08.962446+00:00,1,0,0,5861,81920,68.57,29,40.61347961425781,0.0,4.2469240725040436e-05,1
1783749008.9624465,2026-07-11T05:50:08.962446+00:00,2,0,0,5861,81920,69.97,28,40.61347961425781,0.0,4.2469240725040436e-05,1
1783749008.9624465,2026-07-11T05:50:08.962446+00:00,3,0,0,5765,81920,68.03,29,40.61347961425781,0.0,4.2469240725040436e-05,1
1783749014.0190985,2026-07-11T05:50:14.019099+00:00,0,0,0,5753,81920,69.71,28,40.613372802734375,0.0,4.475656896829605e-05,1
1783749014.0190985,2026-07-11T05:50:14.019099+00:00,1,0,0,5861,81920,68.57,29,40.613372802734375,0.0,4.475656896829605e-05,1
1783749014.0190985,2026-07-11T05:50:14.019099+00:00,2,0,0,5861,81920,70.04,28,40.613372802734375,0.0,4.475656896829605e-05,1
1783749014.0190985,2026-07-11T05:50:14.019099+00:00,3,0,0,5765,81920,67.42,29,40.613372802734375,0.0,4.475656896829605e-05,1
1783749019.087633,2026-07-11T05:50:19.087633+00:00,0,0,0,5753,81920,69.71,28,40.613311767578125,0.0,4.522595554590225e-05,1
1783749019.087633,2026-07-11T05:50:19.087633+00:00,1,0,0,5861,81920,68.57,29,40.613311767578125,0.0,4.522595554590225e-05,1
1783749019.087633,2026-07-11T05:50:19.087633+00:00,2,0,0,5861,81920,69.97,28,40.613311767578125,0.0,4.522595554590225e-05,1
1783749019.087633,2026-07-11T05:50:19.087633+00:00,3,0,0,5765,81920,67.42,29,40.613311767578125,0.0,4.522595554590225e-05,1
1783749024.1493251,2026-07-11T05:50:24.149325+00:00,0,0,0,5753,81920,69.71,28,40.613216400146484,0.0,4.7081150114536285e-05,1
1783749024.1493251,2026-07-11T05:50:24.149325+00:00,1,0,0,5861,81920,68.57,29,40.613216400146484,0.0,4.7081150114536285e-05,1
1783749024.1493251,2026-07-11T05:50:24.149325+00:00,2,0,0,5861,81920,69.97,28,40.613216400146484,0.0,4.7081150114536285e-05,1
1783749024.1493251,2026-07-11T05:50:24.149325+00:00,3,0,0,5765,81920,67.42,29,40.613216400146484,0.0,4.7081150114536285e-05,1
1783749029.2041016,2026-07-11T05:50:29.204102+00:00,0,0,0,5753,81920,69.71,28,40.6132926940918,0.0,4.939548671245575e-05,1
1783749029.2041016,2026-07-11T05:50:29.204102+00:00,1,0,0,5861,81920,68.57,29,40.6132926940918,0.0,4.939548671245575e-05,1
1783749029.2041016,2026-07-11T05:50:29.204102+00:00,2,0,0,5861,81920,69.97,28,40.6132926940918,0.0,4.939548671245575e-05,1
1783749029.2041016,2026-07-11T05:50:29.204102+00:00,3,0,0,5765,81920,67.42,29,40.6132926940918,0.0,4.939548671245575e-05,1
1783749034.2751937,2026-07-11T05:50:34.275194+00:00,0,0,0,5753,81920,69.71,28,40.61326217651367,0.0,4.985742270946503e-05,1
1783749034.2751937,2026-07-11T05:50:34.275194+00:00,1,0,0,5861,81920,68.57,29,40.61326217651367,0.0,4.985742270946503e-05,1
1783749034.2751937,2026-07-11T05:50:34.275194+00:00,2,0,0,5861,81920,69.97,28,40.61326217651367,0.0,4.985742270946503e-05,1
1783749034.2751937,2026-07-11T05:50:34.275194+00:00,3,0,0,5765,81920,68.03,29,40.61326217651367,0.0,4.985742270946503e-05,1
1783749039.3423688,2026-07-11T05:50:39.342369+00:00,0,36,0,10947,81920,78.32,28,40.6130256652832,0.0,5.236733704805374e-05,1
1783749039.3423688,2026-07-11T05:50:39.342369+00:00,1,37,0,11055,81920,76.91,29,40.6130256652832,0.0,5.236733704805374e-05,1
1783749039.3423688,2026-07-11T05:50:39.342369+00:00,2,36,0,11055,81920,88.71,29,40.6130256652832,0.0,5.236733704805374e-05,1
1783749039.3423688,2026-07-11T05:50:39.342369+00:00,3,37,0,10959,81920,75.44,29,40.6130256652832,0.0,5.236733704805374e-05,1
1783749044.4063869,2026-07-11T05:50:44.406387+00:00,0,0,0,10947,81920,69.78,28,40.613014221191406,0.0,5.3087249398231506e-05,1
1783749044.4063869,2026-07-11T05:50:44.406387+00:00,1,0,0,11055,81920,68.57,29,40.613014221191406,0.0,5.3087249398231506e-05,1
1783749044.4063869,2026-07-11T05:50:44.406387+00:00,2,0,0,11055,81920,70.04,28,40.613014221191406,0.0,5.3087249398231506e-05,1
1783749044.4063869,2026-07-11T05:50:44.406387+00:00,3,0,0,10959,81920,68.03,29,40.613014221191406,0.0,5.3087249398231506e-05,1
1783749049.4723601,2026-07-11T05:50:49.472360+00:00,0,0,0,10947,81920,69.71,28,40.613014221191406,0.0,5.356408655643463e-05,1
1783749049.4723601,2026-07-11T05:50:49.472360+00:00,1,0,0,11055,81920,68.57,29,40.613014221191406,0.0,5.356408655643463e-05,1
1783749049.4723601,2026-07-11T05:50:49.472360+00:00,2,0,0,11055,81920,69.97,28,40.613014221191406,0.0,5.356408655643463e-05,1
1783749049.4723601,2026-07-11T05:50:49.472360+00:00,3,0,0,10959,81920,68.03,29,40.613014221191406,0.0,5.356408655643463e-05,1
1783749054.529851,2026-07-11T05:50:54.529851+00:00,0,0,0,10947,81920,69.71,28,40.61300277709961,0.0,5.4037198424339294e-05,1
1783749054.529851,2026-07-11T05:50:54.529851+00:00,1,0,0,11055,81920,68.57,29,40.61300277709961,0.0,5.4037198424339294e-05,1
1783749054.529851,2026-07-11T05:50:54.529851+00:00,2,0,0,11055,81920,69.97,28,40.61300277709961,0.0,5.4037198424339294e-05,1
1783749054.529851,2026-07-11T05:50:54.529851+00:00,3,0,0,10959,81920,67.42,29,40.61300277709961,0.0,5.4037198424339294e-05,1
1783749059.5978518,2026-07-11T05:50:59.597852+00:00,0,0,0,10947,81920,69.71,28,40.61296844482422,0.0,5.4506585001945496e-05,1
1783749059.5978518,2026-07-11T05:50:59.597852+00:00,1,0,0,11055,81920,68.57,29,40.61296844482422,0.0,5.4506585001945496e-05,1
1783749059.5978518,2026-07-11T05:50:59.597852+00:00,2,0,0,11055,81920,70.04,28,40.61296844482422,0.0,5.4506585001945496e-05,1
