all_fail,all_success,format,groups,mixed,mixed_yield,raw_reward,response_max,response_p50,response_p95,step,trajectories,truncation
49,7,0.9982638888888888,96,40,0.4166666666666667,0.2708333333333333,10240.0,8685.0,10238.95,1,768,0.05078125
25,3,1.0,64,36,0.5625,0.283203125,10240.0,9113.0,10240.0,2,512,0.0703125
28,3,0.9998497596153846,64,33,0.515625,0.30078125,10240.0,8246.5,10240.0,3,512,0.06640625
28,2,0.9975903003246753,64,34,0.53125,0.267578125,10240.0,9137.0,10240.0,4,512,0.06640625
41,8,1.0,96,47,0.4895833333333333,0.2864583333333333,10240.0,8900.5,10240.0,5,768,0.06640625
25,3,1.0,64,36,0.5625,0.294921875,10240.0,8944.5,10240.0,6,512,0.0546875
47,9,0.9989583333333334,96,40,0.4166666666666667,0.26953125,10240.0,9061.0,10240.0,7,768,0.052083333333333336
50,6,0.9987630208333332,96,40,0.4166666666666667,0.2669270833333333,10240.0,7750.5,10240.0,8,768,0.052083333333333336
49,6,0.9959635416666667,96,41,0.4270833333333333,0.2734375,10240.0,8499.5,10240.0,9,768,0.061197916666666664
26,6,0.99658203125,64,32,0.5,0.32421875,10240.0,7328.0,10222.9,10,512,0.04296875
48,4,0.9990234375,96,44,0.4583333333333333,0.27734375,10240.0,7600.0,10231.65,11,768,0.049479166666666664
29,3,0.9984375,64,32,0.5,0.30078125,10240.0,8403.5,10240.0,12,512,0.072265625
50,5,0.9962890624999999,96,41,0.4270833333333333,0.2578125,10240.0,8773.0,10240.0,13,768,0.055989583333333336
28,4,1.0,64,32,0.5,0.29296875,10240.0,8566.5,10221.85,14,512,0.05078125
48,6,0.9971168154761904,96,42,0.4375,0.2981770833333333,10240.0,8477.0,10240.0,15,768,0.055989583333333336
27,3,0.9962820870535715,64,34,0.53125,0.314453125,10240.0,6847.0,10240.0,16,512,0.056640625
20,4,1.0,64,40,0.625,0.40625,10240.0,6943.5,10233.0,17,512,0.046875
42,5,0.9996279761904763,96,49,0.5104166666666666,0.2734375,10240.0,8369.5,10240.0,18,768,0.06640625
23,4,0.99921875,64,37,0.578125,0.357421875,10240.0,6617.5,10226.0,19,512,0.041015625
45,4,0.9966471354166666,96,47,0.4895833333333333,0.2604166666666667,10240.0,8884.5,10240.0,20,768,0.0703125
41,9,0.995876736111111,96,46,0.4791666666666667,0.32421875,10240.0,8517.5,10240.0,21,768,0.052083333333333336
28,4,0.9983723958333334,64,32,0.5,0.30078125,10240.0,8341.0,10240.0,22,512,0.052734375
48,2,0.999782986111111,96,46,0.4791666666666667,0.22916666666666666,10240.0,9160.0,10240.0,23,768,0.08333333333333333
21,7,1.0,64,36,0.5625,0.353515625,10240.0,6153.0,10220.8,24,512,0.048828125
29,3,1.0,64,32,0.5,0.291015625,10240.0,8133.0,10224.05,25,512,0.044921875
38,12,0.9989149305555557,96,46,0.4791666666666667,0.3541666666666667,10240.0,7967.5,10240.0,26,768,0.07161458333333333
25,2,1.0,64,37,0.578125,0.294921875,10240.0,8909.5,10240.0,27,512,0.068359375
53,6,0.998752170138889,96,37,0.3854166666666667,0.23958333333333334,10240.0,9113.5,10240.0,28,768,0.0703125
56,3,0.9989583333333334,96,37,0.3854166666666667,0.20572916666666666,10240.0,9123.5,10240.0,29,768,0.06640625
44,7,0.9961480034722222,96,45,0.46875,0.2786458333333333,10240.0,8329.5,10240.0,30,768,0.052083333333333336
53,7,0.9996279761904763,96,36,0.375,0.24869791666666666,10240.0,8935.5,10240.0,31,768,0.08854166666666667
46,10,0.9989583333333334,96,40,0.4166666666666667,0.3072916666666667,10240.0,8672.0,10240.0,32,768,0.06770833333333333
25,6,0.9981863839285714,64,33,0.515625,0.33984375,10240.0,8325.5,10225.8,33,512,0.044921875
24,5,0.99921875,64,35,0.546875,0.34375,10240.0,6977.0,10240.0,34,512,0.0546875
21,9,0.9969075520833333,64,34,0.53125,0.35546875,10240.0,7555.5,10229.7,35,512,0.046875
40,10,0.9969308035714285,96,46,0.4791666666666667,0.3411458333333333,10240.0,7410.5,10240.0,36,768,0.053385416666666664
44,8,0.9970517113095237,96,44,0.4583333333333333,0.30859375,10240.0,7686.0,10240.0,37,768,0.055989583333333336
49,6,0.9972182765151515,96,41,0.4270833333333333,0.2526041666666667,10240.0,8854.0,10240.0,38,768,0.06901041666666667
45,6,0.9969866071428571,96,45,0.46875,0.28515625,10240.0,8563.5,10240.0,39,768,0.06510416666666667
44,4,0.9997829861111112,96,48,0.5,0.2942708333333333,10240.0,8544.0,10240.0,40,768,0.06380208333333333
40,5,0.9966145833333333,96,51,0.53125,0.2890625,10240.0,8517.0,10240.0,41,768,0.057291666666666664
46,6,0.9989583333333334,96,44,0.4583333333333333,0.2721354166666667,10240.0,8481.0,10240.0,42,768,0.053385416666666664
22,7,0.9965425741792929,64,35,0.546875,0.3828125,10240.0,7252.5,10227.9,43,512,0.041015625
27,3,0.9968098958333333,64,34,0.53125,0.25390625,10240.0,9179.0,10240.0,44,512,0.060546875
27,3,0.99853515625,64,34,0.53125,0.279296875,10240.0,8418.5,10225.0,45,512,0.046875
